model,RUMnet
Cross fold parameters
seed,1234
numberFold,10
fractionTest,0.1
fractionVal,0.09000000000000001
Model parameters
earlyStopping,False
numberEpochs,50
regularization,0.0
learningRate,[0.001]
batchSize,32
embedding,False
tol,0.0001
early_stopping_patience,5
Model architecture
depth_u,3
width_u,10
depth_eps_x,3
width_eps_x,10
last_x,10
depth_eps_z,3
width_eps_z,10
last_z,10
heterogeneity_x,5
heterogeneity_z,5
model,RUMnet
Cross fold parameters
seed,1234
numberFold,10
fractionTest,0.1
fractionVal,0.09000000000000001
Model parameters
earlyStopping,False
numberEpochs,50
regularization,0.0
learningRate,[0.001]
batchSize,32
embedding,False
tol,0.0001
early_stopping_patience,5
Model architecture
depth_u,3
width_u,10
depth_eps_x,3
width_eps_x,10
last_x,10
depth_eps_z,3
width_eps_z,10
last_z,10
heterogeneity_x,5
heterogeneity_z,5
model,RUMnet
Cross fold parameters
seed,1234
numberFold,10
fractionTest,0.1
fractionVal,0.09000000000000001
Model parameters
earlyStopping,False
numberEpochs,50
regularization,0.0
learningRate,[0.001]
batchSize,32
embedding,False
tol,0.0001
early_stopping_patience,5
Model architecture
depth_u,3
width_u,10
depth_eps_x,3
width_eps_x,10
last_x,10
depth_eps_z,3
width_eps_z,10
last_z,10
heterogeneity_x,5
heterogeneity_z,5
model,RUMnet
Cross fold parameters
seed,1234
numberFold,10
fractionTest,0.1
fractionVal,0.09000000000000001
Model parameters
earlyStopping,True
numberEpochs,50
regularization,0.0
learningRate,[0.001]
batchSize,32
embedding,False
tol,0.0001
early_stopping_patience,6
Model architecture
depth_u,3
width_u,10
depth_eps_x,3
width_eps_x,10
last_x,10
depth_eps_z,3
width_eps_z,10
last_z,10
heterogeneity_x,5
heterogeneity_z,5
numberParameters,8470
